article,ean,name,category,dealer_price_eur,status
47.10.83.00,8715839056419,2015 Poster BERG Grantour,,,
47.10.84.00,8715839056426,2015 Poster BERG Jeep Revolution,,,
47.10.85.00,8715839056433,2015 Poster BERG John Deere,,,
47.10.86.00,8715839056440,2015 Poster BERG New Holland,,,
47.10.87.00,8715839056457,2015 Poster BERG Race,,,
47.10.88.00,8715839056464,2015 Poster BERG Safari,,,
47.10.94.00,8715839056525,2015 Poster BERG Sports,,,
47.10.89.00,8715839056495,2015 Poster BERG X-Cross,,,
47.10.90.00,8715839056471,2015 Poster BERG X-Cross,,,
49.68.00.81,8715839057096,2015 Retailbrochure DE,,,
49.68.00.83,8715839057119,2015 Retailbrochure FR,,,
49.68.00.80,8715839057089,2015 Retailbrochure NL,,,
49.68.00.82,8715839057102,2015 Retailbrochure UK,,,
49.68.00.64,8715839054651,2015 UK Consumer flyer,,,
49.68.00.65,8715839054668,2015 UK Dealer flyer,,,
47.11.96.00,8715839059540,2016 BERG Baniervlag Pedal Go-kart (100x300 cm),,,
47.11.97.00,8715839059557,2016 BERG Baniervlag Trampoline (100x300 cm),,,
47.11.98.00,8715839059564,2016 BERG Beach flag Pedal Go-kart,,,
47.11.99.00,8715839059571,2016 BERG Beach flag Trampoline,,,
47.11.84.00,8715839058505,2016 BERG Beachballs 1x,,,
47.11.86.00,8715839058529,2016 BERG Bottles 75x,,,
49.68.01.01,8715839059120,2016 BERG Brochure DE a 50 pieces,,,
49.68.01.02,8715839059137,2016 BERG Brochure EN a 50 pieces,,,
49.68.01.03,8715839059144,2016 BERG Brochure FR a 50 pieces,,,
49.68.01.00,8715839059113,2016 BERG Brochure NL a 50 pieces,,,
49.68.01.14,8715839059199,2016 BERG Brochure USA a 50 pieces,,,
49.68.01.05,8715839059168,2016 BERG Brochure name imprint DE a 50 pieces,,,
49.68.01.06,8715839059175,2016 BERG Brochure name imprint EN a 50 pieces,,,
49.68.01.07,8715839059182,2016 BERG Brochure name imprint FR a 50 pieces,,,
49.68.01.04,8715839059151,2016 BERG Brochure name imprint NL a 50 pieces,,,
47.11.94.00,8715839059519,2016 BERG Canvas (without frame),,,
47.15.09.00,8715839061314,2016 BERG Canvas USA,,,
47.11.85.00,8715839058512,2016 BERG Pencils 48x,,,
47.13.12.00,8715839059649,2016 BERG Polo Man – Size L,,,
47.13.11.00,8715839059632,2016 BERG Polo Man – Size M,,,
47.13.10.00,8715839059625,2016 BERG Polo Man – Size S,,,
47.13.02.00,8715839059618,2016 BERG Polo Woman – Size L,,,
47.13.01.00,8715839059601,2016 BERG Polo Woman – Size M,,,
47.13.00.00,8715839059588,2016 BERG Polo Woman – Size S,,,
47.11.93.00,8715839059052,2016 BERG Powerbank,,,
49.68.01.09,8715839059212,2016 BERG Pricelist DE a 50 pieces,,,
49.68.01.10,8715839059229,2016 BERG Pricelist EN with euro a 50 pieces,,,
49.68.01.11,8715839059236,2016 BERG Pricelist EN with sterling a 50 pieces,,,
49.68.01.12,8715839059243,2016 BERG Pricelist IR a 50 pieces,,,
49.68.01.08,8715839059205,2016 BERG Pricelist NL a 50 pieces,,,
49.68.01.13,8715839059250,2016 BERG Pricelist NL a 50 pieces,,,
47.14.22.00,8715839059847,2016 BERG Softshell Jack Child – Size M,,,
47.14.21.00,8715839059830,2016 BERG Softshell Jack Child – Size S,,,
47.14.12.00,8715839059809,2016 BERG Softshell Jack Man – Size L,,,
47.14.13.00,8715839059816,2016 BERG Softshell Jack Man – Size L,,,
47.14.11.00,8715839059793,2016 BERG Softshell Jack Man – Size S,,,
47.14.14.00,8715839059823,2016 BERG Softshell Jack Man – Size XL,,,
47.14.03.00,8715839059779,2016 BERG Softshell Jack Woman – Size L,,,
47.14.02.00,8715839059762,2016 BERG Softshell Jack Woman – Size M,,,
47.14.01.00,8715839059755,2016 BERG Softshell Jack Woman – Size S,,,
47.14.04.00,8715839059786,2016 BERG Softshell Jack Woman – Size XL,,,
49.68.01.15,8715839059304,2016 BERG USA productspecifications,,,
47.11.87.00,8715839058536,2016 BERG notebook,,,
47.11.88.00,8715839058543,2016 Ballonstokjes 1000x,,,
47.15.05.00,8715839060164,2016 Cap Snapback (20x,,,
49.68.01.20,8715839060003,2016 Christmas flyer (50x),,,
49.68.01.18,8715839059984,2016 Christmas flyer euro (50x),,,
49.68.01.19,8715839059991,2016 Christmas flyer euro name imprint (50x),,,
49.68.01.21,8715839060010,2016 Christmas flyer name imprint (50x),,,
49.68.01.16,8715839059960,2016 Christmas flyer sterling (50x),,,
49.68.01.17,8715839059977,2016 Christmas flyer sterling name imprint (50x),,,
47.15.03.00,8715839060065,2016 Christmas gift DE,,,
47.15.02.00,8715839060058,2016 Christmas gift EN,,,
47.15.04.00,8715839060072,2016 Christmas gift FR,,,
47.15.01.00,8715839060041,2016 Christmas gift NL,,,
47.11.83.00,8715839058499,2016 Keyring BERG X-Cross 25x,,,
49.68.00.86,8715839057393,2016 Leisurebrochure DE,,,
49.68.00.85,8715839057386,2016 Leisurebrochure EN,,,
49.68.00.87,8715839057409,2016 Leisurebrochure FR,,,
49.68.00.84,8715839057379,2016 Leisurebrochure NL,,,
47.11.95.00,8715839059526,2016 Pop-up display BERG,,,
49.68.00.94,8715839059083,2016 Retailflyer DE,,,
49.68.00.95,8715839059090,2016 Retailflyer EN,,,
49.68.00.96,8715839059106,2016 Retailflyer FR,,,
49.68.00.93,8715839059076,2016 Retailflyer NL,,,
49.68.01.22,8715839060027,2016 UK Consumer flyer (50x),,,
47.15.12.00,8715839061369,2017 BERG Balloons (20x),,,
47.15.23.00,8715839061611,2017 BERG Banner flag Pedal Go-kart (100x300 cm),,,
47.15.22.00,8715839061604,2017 BERG Banner flag Trampoline (100x300 cm),,,
47.15.26.00,8715839061956,2017 BERG Canvas Buzzy (without frame),,,
47.15.16.00,8715839061406,2017 BERG Frisbee,,,
47.19.21.01,8715839062014,2017 BERG Goodiebag,,,
47.15.15.00,8715839061390,2017 BERG Keycord,,,
47.15.17.00,8715839061413,2017 BERG Keyring Bloom,,,
47.15.18.00,8715839061420,2017 BERG Keyring Nitro,,,
47.15.11.00,8715839061352,2017 BERG Lunch box,,,
47.15.14.00,8715839061383,2017 BERG Pen,,,
47.15.13.00,8715839061376,2017 BERG Puzzle,,,
47.15.19.00,8715839061437,2017 BERG USB 8GB,,,
47.15.31.00,8715839064216,2017 BERG Watch DE,,,
47.15.30.00,8715839064209,2017 BERG Watch EN,,,
47.15.32.00,8715839064223,2017 BERG Watch FR,,,
47.15.29.00,8715839064193,2017 BERG Watch NL,,,
47.15.21.00,8715839061598,2017 Beach flag Pedal Go-kart,,,
47.15.20.00,8715839061581,2017 Beach flag Trampoline,,,
49.68.01.24,8715839060553,2017 Catalog DE,,,
49.68.01.30,8715839060614,2017 Catalog DE with imprint,,,
49.68.01.25,8715839060560,2017 Catalog EN,,,
49.68.01.31,8715839060621,2017 Catalog EN with imprint,,,
49.68.01.26,8715839060577,2017 Catalog FR,,,
49.68.01.32,8715839060638,2017 Catalog FR with imprint,,,
49.68.01.23,8715839060546,2017 Catalog NL,,,
49.68.01.29,8715839060607,2017 Catalog NL with imprint,,,
49.68.01.27,8715839060584,2017 Catalog USA EN,,,
49.68.01.28,8715839060591,2017 Catalog USA FR,,,
49.68.01.49,8715839063585,2017 Christmas flyer (50x),,,
49.68.01.47,8715839063561,2017 Christmas flyer euro (50x),,,
49.68.01.48,8715839063578,2017 Christmas flyer euro name imprint (50x),,,
49.68.01.50,8715839063592,2017 Christmas flyer name imprint (50x),,,
49.68.01.45,8715839063547,2017 Christmas flyer sterling (50x),,,
